STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/16/17,6.71,",,W",,,0,",,W,2400",0,",,W,2400",0,"T,,W,2400",35,"H,,S",42,",,W",28,",,W",240,",,W",240,",,W",13,",,W",16.1,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/17/17,7.38,",,W",,,0.59,",,W,2400",0,",,W,2400",0,",,W,2400",40,"H,,S",43,",,W",39,",,W",240,",,W",240,",,W",15,",,W",18.1,",,W",1,",,W",,,,,,,,,,,1,",,W",,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/18/17,10.74,",,W",,,0.09,",,W,2400",0,",,W,2400",0,",,W,2400",41,"H,,S",42,",,W",40,",,W",20,",,W",40,",,W",16.1,",,W",21,",,W",1,",,W",,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/19/17,8.5,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",43,"H,,S",54,",,W",37,",,W",320,",,W",320,",,W",16.1,",,W",19,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/20/17,5.59,",,W",,,0.08,",,W,2400",0,",,W,2400",0,",,W,2400",44,"H,,S",46,",,W",42,",,W",40,",,W",60,",,W",12.1,",,W",14.1,",,W",1,",,W",,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/21/17,8.5,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",44,"H,,S",47,",,W",42,",,W",250,",,W",250,",,W",14.1,",,W",17,",,W",1,",,W",1,",,W",,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/22/17,8.95,",,W",,,0.01,",,W,2400",0,",,W,2400",0,",,W,2400",46,"H,,S",54,",,W",43,",,W",60,",,W",80,",,W",28,",,W",34,",,W",1,",,W",1,",,W",,,,,,,,,1,",,W",,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/23/17,25.05,",,W",,,0.84,",,W,2400",0,",,W,2400",0,",,W,2400",44,"H,,S",47,",,W",38,",,W",50,",,W",50,",,W",36.9,",,W",47,",,W",1,",,W",,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/24/17,21.7,",,W",,,1.22,",,W,2400",0,",,W,2400",0,",,W,2400",38,"H,,S",40,",,W",38,",,W",40,",,W",50,",,W",40,",,W",52.1,",,W",1,",,W",,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/25/17,14.76,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",42,"H,,S",51,",,W",37,",,W",310,",,W",300,",,W",29.1,",,W",36.9,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/26/17,14.76,",,W",,,0.03,",,W,2400",0,",,W,2400",0,",,W,2400",45,"H,,S",55,",,W",42,",,W",290,",,W",290,",,W",35.1,",,W",42.9,",,W",1,",,W",,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/27/17,20.8,",,W",,,0,"T,,W,2400",0,"T,,W,2400",0,",,W,2400",42,"H,,S",46,",,W",36,",,W",260,",,W",260,",,W",29.1,",,W",36.9,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/28/17,17.67,",,W",,,0,"T,,W,2400",0,"T,,W,2400",0,",,W,2400",37,"H,,S",40,",,W",34,",,W",250,",,W",250,",,W",28,",,W",32,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/29/17,11.63,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",38,"H,,S",46,",,W",30,",,W",270,",,W",270,",,W",21.9,",,W",28,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/30/17,12.53,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",36,"H,,S",39,",,W",30,",,W",310,",,W",310,",,W",23,",,W",28,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/31/17,6.26,",,W",,,0.05,",,W,2400",0.6,",,W,2400",0,",,W,2400",30,"H,,S",32,",,W",26,",,W",90,",,W",320,",,W",14.1,",,W",19,",,W",1,",,W",,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/1/17,12.53,",,W",,,0,",,W,2400",0,",,W,2400",0,"T,,W,2400",38,"H,,S",48,",,W",27,",,W",270,",,W",270,",,W",21.9,",,W",29.1,",,W",1,",,W",,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/2/17,11.86,",,W",,,0,"T,,W,2400",0,"T,,W,2400",0,",,W,2400",40,"H,,S",47,",,W",32,",,W",290,",,W",290,",,W",25.1,",,W",32,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/3/17,13.2,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",32,"H,,S",34,",,W",26,",,W",310,",,W",280,",,W",29.1,",,W",35.1,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/4/17,14.99,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",29,"H,,S",35,",,W",23,",,W",320,",,W",290,",,W",30,",,W",36.9,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/5/17,12.97,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",35,"H,,S",42,",,W",30,",,W",210,",,W",210,",,W",25.1,",,W",29.1,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/6/17,10.74,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",42,"H,,S",48,",,W",36,",,W",300,",,W",290,",,W",21.9,",,W",29.1,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/7/17,6.93,",,W",,,0.1,",,W,2400",0,",,W,2400",0,",,W,2400",40,"H,,S",44,",,W",35,",,W",30,",,W",30,",,W",16.1,",,W",18.1,",,W",1,",,W",,,,,,,,,,,1,",,W",,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/8/17,8.72,",,W",,,0,"T,,W,2400",0,",,W,2400",0,",,W,2400",48,"H,,S",65,",,W",39,",,W",360,",,W",350,",,W",19.9,",,W",23,",,W",1,",,W",,,,,,,,,,,1,",,W",,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/9/17,23.04,",,W",,,0.74,",,W,2400",8.3,",,W,2400",1.2,",,W,2400",35,"H,,S",44,",,W",19,",,W",310,",,W",300,",,W",38,",,W",48.1,",,W",1,",,W",,,,,1,",,W",,,,,1,",,W",1,",,W"
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/10/17,16.11,",,W",,,0,"T,,W,2400",0,"T,,W,2400",7.9,",,W,2400",24,"H,,S",31,",,W",20,",,W",270,",,W",270,",,W",23.9,",,W",32,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/11/17,6.93,",,W",,,0,",,W,2400",0,",,W,2400",5.9,",,W,2400",37,"H,,S",45,",,W",30,",,W",210,",,W",210,",,W",16.1,",,W",18.1,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/12/17,10.74,",,W",,,0.4,",,W,2400",0.1,",,W,2400",5.1,",,W,2400",36,"H,,S",37,",,W",32,",,W",60,",,W",330,",,W",21,",,W",23.9,",,W",1,",,W",,,,,1,",,W",,,1,",,W",,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/13/17,25.72,",,W",,,0,"T,,W,2400",0,",,W,2400",3.9,",,W,2400",37,"H,,S",39,",,W",31,",,W",300,",,W",300,",,W",44.1,",,W",62,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/14/17,11.41,",,W",,,0,",,W,2400",0,",,W,2400",3.1,",,W,2400",33,"H,,S",38,",,W",28,",,W",310,",,W",330,",,W",21,",,W",27.1,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/15/17,10.74,",,W",,,0,"T,,W,2400",0,",,W,2400",2,",,W,2400",38,"H,,S",46,",,W",31,",,W",300,",,W",310,",,W",30,",,W",38.9,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/16/17,22.15,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",35,"H,,S",39,",,W",29,",,W",320,",,W",330,",,W",30,",,W",36.9,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/17/17,14.54,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",33,"H,,S",44,",,W",27,",,W",320,",,W",320,",,W",25.9,",,W",36.9,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/18/17,7.16,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",41,"H,,S",53,",,W",30,",,W",220,",,W",220,",,W",15,",,W",19,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/19/17,11.41,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",55,"H,,S",68,",,W",46,",,W",290,",,W",300,",,W",23,",,W",29.1,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/20/17,13.2,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",52,"H,,S",56,",,W",38,",,W",40,",,W",40,",,W",21.9,",,W",27.1,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/21/17,8.5,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",40,"H,,S",45,",,W",31,",,W",210,",,W",,,12.1,",,W",,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/22/17,5.82,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",44,"H,,S",51,",,W",39,",,W",170,",,W",,,10.1,",,W",,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/23/17,5.37,",,W",,,0,"T,,W,2400",0,",,W,2400",0,",,W,2400",45,"H,,S",57,",,W",38,",,W",200,",,W",200,",,W",16.1,",,W",19.9,",,W",1,",,W",1,",,W",,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/24/17,11.18,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",52,"H,,S",62,",,W",45,",,W",180,",,W",180,",,W",25.9,",,W",33.1,",,W",1,",,W",1,",,W",,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/25/17,11.86,",,W",,,0.34,",,W,2400",0,",,W,2400",0,",,W,2400",53,"H,,S",63,",,W",47,",,W",320,",,W",290,",,W",28,",,W",36.9,",,W",1,",,W",1,",,W",1,",,W",,,,,,,1,",,W",,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/26/17,18.57,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",44,"H,,S",47,",,W",37,",,W",310,",,W",300,",,W",29.1,",,W",38,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/27/17,12.3,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",41,"H,,S",52,",,W",32,",,W",190,",,W",190,",,W",23.9,",,W",31.1,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/28/17,6.26,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",48,"H,,S",58,",,W",43,",,W",150,",,W",180,",,W",16.1,",,W",19,",,W",1,",,W",1,",,W",,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/1/17,11.63,",,W",,,0.01,",,W,2400",0,",,W,2400",0,",,W,2400",51,"H,,S",61,",,W",48,",,W",190,",,W",190,",,W",25.1,",,W",32,",,W",1,",,W",1,",,W",,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/2/17,25.5,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",52,"H,,S",62,",,W",37,",,W",280,",,W",290,",,W",40.9,",,W",55,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/3/17,18.34,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",37,"H,,S",42,",,W",25,",,W",300,",,W",300,",,W",33.1,",,W",42.9,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/4/17,20.8,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",27,"H,,S",34,",,W",18,",,W",300,",,W",310,",,W",35.1,",,W",44.1,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/5/17,13.65,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",24,"H,,S",38,",,W",16,",,W",330,",,W",330,",,W",25.1,",,W",33.1,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/6/17,8.05,",,W",,,0,"T,,W,2400",0,",,W,2400",0,",,W,2400",32,"H,,S",42,",,W",22,",,W",190,",,W",190,",,W",16.1,",,W",19,",,W",,,,,,,,,,,,,1,",,W",,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/7/17,10.51,",,W",,,0.11,",,W,2400",0,",,W,2400",0,",,W,2400",44,"H,,S",50,",,W",42,",,W",190,",,W",180,",,W",21.9,",,W",27.1,",,W",1,",,W",,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/8/17,16.55,",,W",,,0.05,",,W,2400",0,",,W,2400",0,",,W,2400",52,"H,,S",61,",,W",46,",,W",290,",,W",290,",,W",25.9,",,W",32,",,W",1,",,W",,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/9/17,19.46,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",55,"H,,S",64,",,W",46,",,W",270,",,W",270,",,W",32,",,W",40.9,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/10/17,17.45,",,W",,,0.26,",,W,2400",2.4,",,W,2400",0,",,W,2400",42,"H,,S",49,",,W",24,",,W",310,",,W",300,",,W",36,",,W",44.1,",,W",1,",,W",,,,,,,,,,,1,",,W",,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/11/17,18.57,",,W",,,0,"T,,W,2400",0,"T,,W,2400",2,",,W,2400",25,"H,,S",29,",,W",18,",,W",310,",,W",320,",,W",33.1,",,W",40,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/12/17,18.34,",,W",,,0,",,W,2400",0,",,W,2400",1.2,",,W,2400",25,"H,,S",32,",,W",20,",,W",310,",,W",270,",,W",28,",,W",36.9,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/13/17,9.17,",,W",,,0,"T,,W,2400",0,"T,,W,2400",0,",,W,2400",26,"H,,S",34,",,W",20,",,W",310,",,W",300,",,W",21,",,W",25.9,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/14/17,24.61,",,W",,,1.94,",,W,2400",5.1,",,W,2400",3.9,",,W,2400",32,"H,,S",36,",,W",23,",,W",40,",,W",40,",,W",38.9,",,W",48.1,",,W",1,",,W",,,,,1,",,W",,,,,,,1,",,W"
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/15/17,21.25,",,W",,,0,"T,,W,2400",0,"T,,W,2400",3.9,",,W,2400",25,"H,,S",28,",,W",22,",,W",290,",,W",290,",,W",32,",,W",42.9,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/16/17,17.22,",,W",,,0,",,W,2400",0,",,W,2400",3.9,",,W,2400",30,"H,,S",40,",,W",25,",,W",290,",,W",290,",,W",28,",,W",36,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/17/17,13.2,",,W",,,0,",,W,2400",0,",,W,2400",3.1,",,W,2400",36,"H,,S",45,",,W",30,",,W",240,",,W",290,",,W",21,",,W",25.1,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/18/17,10.96,",,W",,,0.07,",,W,2400",0,"T,,W,2400",2,",,W,2400",36,"H,,S",40,",,W",28,",,W",40,",,W",40,",,W",21.9,",,W",27.1,",,W",1,",,W",,,,,,,,,,,1,",,W",,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/19/17,14.54,",,W",,,0,",,W,2400",0,",,W,2400",1.2,",,W,2400",40,"H,,S",48,",,W",35,",,W",20,",,W",30,",,W",23,",,W",30,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/20/17,12.53,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",43,"H,,S",55,",,W",35,",,W",340,",,W",360,",,W",21,",,W",27.1,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/21/17,9.17,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",49,"H,,S",57,",,W",42,",,W",210,",,W",210,",,W",16.1,",,W",19,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/22/17,23.49,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",42,"H,,S",50,",,W",24,",,W",320,",,W",300,",,W",38,",,W",53,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/23/17,11.63,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",31,"H,,S",44,",,W",23,",,W",320,",,W",320,",,W",21,",,W",28,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/24/17,13.87,",,W",,,0,"T,,W,2400",0,",,W,2400",0,",,W,2400",40,"H,,S",49,",,W",32,",,W",190,",,W",190,",,W",23,",,W",30,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/25/17,8.72,",,W",,,0.01,",,W,2400",0,",,W,2400",0,",,W,2400",51,"H,,S",62,",,W",42,",,W",40,",,W",40,",,W",19.9,",,W",23,",,W",,,,,,,,,,,,,,,,
